img_path,label
dataset\CARRIER4_Placards removal\431_selected_image.jpg,3
dataset\CARRIER2_Panel dents or scratches\1411_selected_image.jpg,1
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\2124_selected_image.jpg,6
dataset\CARRIER1_Door Damage\GESU6919226-2.jpg,0
"dataset\CARRIER3_Panel aging, rust or breach\290_selected_image.jpg",2
dataset\SHIPPER4_Panel or Sidewalls dirts\1989_selected_image.jpg,7
"dataset\SHIPPER1_Floor stains, contamination or cracks\1075_selected_image.jpg",4
dataset\CARRIER4_Placards removal\277_selected_image.jpg,3
dataset\SHIPPER2_Panel or Sidewall protrusion\180_selected_image.jpg,5
dataset\SHIPPER4_Panel or Sidewalls dirts\292_selected_image.jpg,7
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\2126_selected_image.jpg,6
dataset\CARRIER1_Door Damage\935_selected_image.jpg,0
"dataset\SHIPPER1_Floor stains, contamination or cracks\TGHU6256147_140604_02.jpg",4
"dataset\SHIPPER1_Floor stains, contamination or cracks\753_selected_image.jpg",4
dataset\SHIPPER2_Panel or Sidewall protrusion\1119_selected_image.jpg,5
"dataset\SHIPPER1_Floor stains, contamination or cracks\212_selected_image.jpg",4
dataset\CARRIER1_Door Damage\WFHU1351170_130702_02.jpg,0
"dataset\CARRIER3_Panel aging, rust or breach\208_selected_image.jpg",2
dataset\SHIPPER4_Panel or Sidewalls dirts\1348_selected_image.jpg,7
dataset\CARRIER1_Door Damage\KWLU2121850-3.jpg,0
dataset\SHIPPER2_Panel or Sidewall protrusion\1233_selected_image.jpg,5
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\122_selected_image.jpg,6
"dataset\CARRIER3_Panel aging, rust or breach\1544_selected_image.jpg",2
dataset\SHIPPER4_Panel or Sidewalls dirts\870_selected_image.jpg,7
dataset\CARRIER4_Placards removal\692_selected_image.jpg,3
"dataset\SHIPPER1_Floor stains, contamination or cracks\865_selected_image.jpg",4
dataset\SHIPPER4_Panel or Sidewalls dirts\165_selected_image.jpg,7
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\WFHU5141079_130723_05.jpg,6
dataset\SHIPPER4_Panel or Sidewalls dirts\36_selected_image.jpg,7
dataset\CARRIER2_Panel dents or scratches\KWLU2070011_131207_05.jpg,1
dataset\CARRIER2_Panel dents or scratches\356_selected_image.jpg,1
"dataset\SHIPPER1_Floor stains, contamination or cracks\236_selected_image.jpg",4
"dataset\SHIPPER1_Floor stains, contamination or cracks\1172_selected_image.jpg",4
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\1470_selected_image.jpg,6
"dataset\CARRIER3_Panel aging, rust or breach\1478_selected_image.jpg",2
dataset\CARRIER2_Panel dents or scratches\666_selected_image.jpg,1
"dataset\CARRIER3_Panel aging, rust or breach\2237_selected_image.jpg",2
dataset\CARRIER4_Placards removal\1679_selected_image.jpg,3
dataset\SHIPPER4_Panel or Sidewalls dirts\301_selected_image.jpg,7
dataset\CARRIER1_Door Damage\1_selected_image.jpg,0
"dataset\SHIPPER1_Floor stains, contamination or cracks\GESU6379431_140607_03.jpg",4
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\2252_selected_image.jpg,6
dataset\SHIPPER4_Panel or Sidewalls dirts\1563_selected_image.jpg,7
dataset\SHIPPER2_Panel or Sidewall protrusion\2230_selected_image.jpg,5
"dataset\SHIPPER1_Floor stains, contamination or cracks\KWLU2120405_140625_03.jpg",4
dataset\SHIPPER2_Panel or Sidewall protrusion\2277_selected_image.jpg,5
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\463_selected_image.jpg,6
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\330_selected_image.jpg,6
dataset\SHIPPER4_Panel or Sidewalls dirts\2339_selected_image.jpg,7
"dataset\SHIPPER1_Floor stains, contamination or cracks\KWLU3130141_131118_02.jpg",4
dataset\SHIPPER2_Panel or Sidewall protrusion\884_selected_image.jpg,5
"dataset\SHIPPER1_Floor stains, contamination or cracks\UESU 2199440-2.jpg",4
dataset\CARRIER4_Placards removal\2014_selected_image.jpg,3
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\130_selected_image.jpg,6
dataset\SHIPPER2_Panel or Sidewall protrusion\854_selected_image.jpg,5
dataset\CARRIER1_Door Damage\183_selected_image.jpg,0
"dataset\SHIPPER1_Floor stains, contamination or cracks\GESU2699843_130731_04.jpg",4
"dataset\CARRIER3_Panel aging, rust or breach\1477_selected_image.jpg",2
dataset\CARRIER2_Panel dents or scratches\271_selected_image.jpg,1
dataset\CARRIER1_Door Damage\GESU3902981_131207_06.jpg,0
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\1477_selected_image.jpg,6
dataset\CARRIER4_Placards removal\484_selected_image.jpg,3
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\567_selected_image.jpg,6
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\1859_selected_image.jpg,6
dataset\CARRIER2_Panel dents or scratches\463_selected_image.jpg,1
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\1291_selected_image.jpg,6
dataset\CARRIER1_Door Damage\417_selected_image.jpg,0
"dataset\CARRIER3_Panel aging, rust or breach\1944_selected_image.jpg",2
dataset\CARRIER1_Door Damage\215_selected_image.jpg,0
"dataset\SHIPPER1_Floor stains, contamination or cracks\TTNU2168270_140624_03.jpg",4
"dataset\SHIPPER1_Floor stains, contamination or cracks\482_selected_image.jpg",4
dataset\SHIPPER2_Panel or Sidewall protrusion\470_selected_image.jpg,5
dataset\CARRIER4_Placards removal\1941_selected_image.jpg,3
dataset\CARRIER4_Placards removal\1461_selected_image.jpg,3
dataset\CARRIER2_Panel dents or scratches\1261_selected_image.jpg,1
dataset\CARRIER4_Placards removal\254_selected_image.jpg,3
dataset\CARRIER1_Door Damage\KWLU2130044_140607_01.jpg,0
"dataset\SHIPPER1_Floor stains, contamination or cracks\1084_selected_image.jpg",4
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\889_selected_image.jpg,6
dataset\CARRIER2_Panel dents or scratches\KWLU5131785-2.jpg,1
dataset\CARRIER4_Placards removal\2351_selected_image.jpg,3
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\1747_selected_image.jpg,6
dataset\SHIPPER4_Panel or Sidewalls dirts\894_selected_image.jpg,7
dataset\SHIPPER2_Panel or Sidewall protrusion\764_selected_image.jpg,5
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\1882_selected_image.jpg,6
dataset\CARRIER4_Placards removal\1863_selected_image.jpg,3
dataset\CARRIER2_Panel dents or scratches\1057_selected_image.jpg,1
dataset\CARRIER2_Panel dents or scratches\590_selected_image.jpg,1
dataset\CARRIER2_Panel dents or scratches\1378_selected_image.jpg,1
dataset\SHIPPER2_Panel or Sidewall protrusion\1417_selected_image.jpg,5
dataset\CARRIER2_Panel dents or scratches\GESU3903782_130619_03.jpg,1
dataset\SHIPPER4_Panel or Sidewalls dirts\163_selected_image.jpg,7
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\1033_selected_image.jpg,6
dataset\CARRIER4_Placards removal\757_selected_image.jpg,3
"dataset\SHIPPER1_Floor stains, contamination or cracks\70_selected_image.jpg",4
dataset\CARRIER4_Placards removal\1783_selected_image.jpg,3
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\2286_selected_image.jpg,6
dataset\SHIPPER4_Panel or Sidewalls dirts\366_selected_image.jpg,7
dataset\SHIPPER2_Panel or Sidewall protrusion\1012_selected_image.jpg,5
dataset\CARRIER1_Door Damage\GESU 6380453-1.jpg,0
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\1330_selected_image.jpg,6
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\699_selected_image.jpg,6
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\TEMU2422931_140227_05.jpg,6
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\1115_selected_image.jpg,6
"dataset\SHIPPER1_Floor stains, contamination or cracks\109_selected_image.jpg",4
dataset\CARRIER4_Placards removal\332_selected_image.jpg,3
dataset\SHIPPER4_Panel or Sidewalls dirts\2363_selected_image.jpg,7
dataset\CARRIER2_Panel dents or scratches\905_selected_image.jpg,1
dataset\CARRIER4_Placards removal\2145_selected_image.jpg,3
dataset\CARRIER1_Door Damage\GESU 3904752-1.jpg,0
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\258_selected_image.jpg,6
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\2080_selected_image.jpg,6
dataset\CARRIER4_Placards removal\1959_selected_image.jpg,3
dataset\CARRIER2_Panel dents or scratches\WFHU5029053-B.jpg,1
dataset\CARRIER1_Door Damage\683_selected_image.jpg,0
dataset\CARRIER4_Placards removal\2254_selected_image.jpg,3
dataset\CARRIER4_Placards removal\1700_selected_image.jpg,3
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\478_selected_image.jpg,6
dataset\SHIPPER4_Panel or Sidewalls dirts\770_selected_image.jpg,7
"dataset\CARRIER3_Panel aging, rust or breach\1517_selected_image.jpg",2
"dataset\CARRIER3_Panel aging, rust or breach\809_selected_image.jpg",2
dataset\SHIPPER2_Panel or Sidewall protrusion\1666_selected_image.jpg,5
dataset\CARRIER1_Door Damage\GESU1409831_140618_03.jpg,0
dataset\SHIPPER4_Panel or Sidewalls dirts\507_selected_image.jpg,7
dataset\SHIPPER2_Panel or Sidewall protrusion\61_selected_image.jpg,5
dataset\CARRIER1_Door Damage\181_selected_image.jpg,0
dataset\CARRIER4_Placards removal\2261_selected_image.jpg,3
dataset\CARRIER1_Door Damage\KWLU2970292_130812_01.jpg,0
dataset\CARRIER4_Placards removal\1219_selected_image.jpg,3
"dataset\SHIPPER1_Floor stains, contamination or cracks\KWLU2091375_130603_01.jpg",4
dataset\SHIPPER2_Panel or Sidewall protrusion\2325_selected_image.jpg,5
dataset\SHIPPER2_Panel or Sidewall protrusion\1989_selected_image.jpg,5
dataset\CARRIER2_Panel dents or scratches\722_selected_image.jpg,1
dataset\CARRIER2_Panel dents or scratches\GESU6380371_131129_04.jpg,1
dataset\SHIPPER2_Panel or Sidewall protrusion\1037_selected_image.jpg,5
dataset\SHIPPER2_Panel or Sidewall protrusion\1239_selected_image.jpg,5
"dataset\CARRIER3_Panel aging, rust or breach\1167_selected_image.jpg",2
dataset\CARRIER4_Placards removal\1730_selected_image.jpg,3
"dataset\SHIPPER1_Floor stains, contamination or cracks\KWLU 5122778-1.jpg",4
dataset\SHIPPER2_Panel or Sidewall protrusion\2298_selected_image.jpg,5
dataset\CARRIER1_Door Damage\KWLU2092303_131224_03.jpg,0
dataset\CARRIER2_Panel dents or scratches\784_selected_image.jpg,1
dataset\SHIPPER4_Panel or Sidewalls dirts\1642_selected_image.jpg,7
dataset\SHIPPER2_Panel or Sidewall protrusion\2143_selected_image.jpg,5
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\872_selected_image.jpg,6
dataset\SHIPPER2_Panel or Sidewall protrusion\1709_selected_image.jpg,5
"dataset\CARRIER3_Panel aging, rust or breach\1299_selected_image.jpg",2
dataset\SHIPPER4_Panel or Sidewalls dirts\1049_selected_image.jpg,7
dataset\CARRIER1_Door Damage\545_selected_image.jpg,0
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\252_selected_image.jpg,6
"dataset\CARRIER3_Panel aging, rust or breach\2292_selected_image.jpg",2
dataset\CARRIER2_Panel dents or scratches\KWLU5122700-2.jpg,1
dataset\CARRIER1_Door Damage\WFHU1285817- (1).JPG,0
dataset\CARRIER1_Door Damage\238_selected_image.jpg,0
"dataset\SHIPPER1_Floor stains, contamination or cracks\791_selected_image.jpg",4
dataset\CARRIER4_Placards removal\938_selected_image.jpg,3
"dataset\CARRIER3_Panel aging, rust or breach\2330_selected_image.jpg",2
dataset\SHIPPER2_Panel or Sidewall protrusion\1079_selected_image.jpg,5
dataset\CARRIER2_Panel dents or scratches\KWLU5091403_130930_04.jpg,1
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\GESU6575291-9.jpg,6
"dataset\CARRIER3_Panel aging, rust or breach\980_selected_image.jpg",2
dataset\CARRIER2_Panel dents or scratches\440_selected_image.jpg,1
"dataset\CARRIER3_Panel aging, rust or breach\1114_selected_image.jpg",2
"dataset\SHIPPER1_Floor stains, contamination or cracks\HJCU7897011_140607_02.jpg",4
dataset\CARRIER4_Placards removal\1521_selected_image.jpg,3
dataset\CARRIER2_Panel dents or scratches\1129_selected_image.jpg,1
"dataset\SHIPPER1_Floor stains, contamination or cracks\GESU6379766.JPG",4
dataset\CARRIER1_Door Damage\859_selected_image.jpg,0
dataset\CARRIER4_Placards removal\138_selected_image.jpg,3
"dataset\SHIPPER1_Floor stains, contamination or cracks\770_selected_image.jpg",4
dataset\SHIPPER4_Panel or Sidewalls dirts\2920380_0.jpg,7
"dataset\CARRIER3_Panel aging, rust or breach\2016_selected_image.jpg",2
dataset\SHIPPER2_Panel or Sidewall protrusion\GESU6575291-11.jpg,5
dataset\CARRIER4_Placards removal\1628_selected_image.jpg,3
dataset\SHIPPER4_Panel or Sidewalls dirts\K SEKU 1102063R (7) (Small)_0.jpg,7
dataset\CARRIER4_Placards removal\1390_selected_image.jpg,3
dataset\SHIPPER2_Panel or Sidewall protrusion\1524_selected_image.jpg,5
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\1079_selected_image.jpg,6
dataset\CARRIER2_Panel dents or scratches\558_selected_image.jpg,1
"dataset\SHIPPER1_Floor stains, contamination or cracks\WFHU1350208_140603_03.jpg",4
"dataset\SHIPPER1_Floor stains, contamination or cracks\618_selected_image.jpg",4
dataset\CARRIER2_Panel dents or scratches\77_selected_image.jpg,1
dataset\SHIPPER4_Panel or Sidewalls dirts\KWLU3608689_130904_05.jpg,7
dataset\CARRIER2_Panel dents or scratches\316_selected_image.jpg,1
dataset\CARRIER4_Placards removal\1816_selected_image.jpg,3
dataset\SHIPPER2_Panel or Sidewall protrusion\1345_selected_image.jpg,5
dataset\CARRIER2_Panel dents or scratches\GESU6574823_130701_02.jpg,1
"dataset\SHIPPER1_Floor stains, contamination or cracks\WFHU5137757_131004_03.jpg",4
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\56_selected_image.jpg,6
dataset\CARRIER2_Panel dents or scratches\KWLU2121700_131224_04.jpg,1
dataset\CARRIER1_Door Damage\662_selected_image.jpg,0
"dataset\SHIPPER1_Floor stains, contamination or cracks\TEMU2424913_140625_04.jpg",4
"dataset\SHIPPER1_Floor stains, contamination or cracks\GESU1263412_130527_02.jpg",4
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\2013_selected_image.jpg,6
"dataset\SHIPPER1_Floor stains, contamination or cracks\1173_selected_image.jpg",4
dataset\CARRIER2_Panel dents or scratches\GESU3902770-7.jpg,1
dataset\CARRIER4_Placards removal\1016_selected_image.jpg,3
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\285_selected_image.jpg,6
dataset\CARRIER2_Panel dents or scratches\GESU3262729_140618_02.jpg,1
dataset\SHIPPER4_Panel or Sidewalls dirts\739_selected_image.jpg,7
dataset\CARRIER2_Panel dents or scratches\TEMU2422783_131224_07.jpg,1
"dataset\CARRIER3_Panel aging, rust or breach\2090_selected_image.jpg",2
"dataset\CARRIER3_Panel aging, rust or breach\494_selected_image.jpg",2
"dataset\SHIPPER1_Floor stains, contamination or cracks\GESU2239920_131220_02.jpg",4
"dataset\SHIPPER1_Floor stains, contamination or cracks\331_selected_image.jpg",4
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\320_selected_image.jpg,6
dataset\SHIPPER4_Panel or Sidewalls dirts\2227_selected_image.jpg,7
dataset\CARRIER4_Placards removal\317_selected_image.jpg,3
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\1187_selected_image.jpg,6
dataset\CARRIER4_Placards removal\435_selected_image.jpg,3
"dataset\SHIPPER1_Floor stains, contamination or cracks\NYKU2532697_131118_02.jpg",4
dataset\SHIPPER2_Panel or Sidewall protrusion\1848_selected_image.jpg,5
dataset\CARRIER2_Panel dents or scratches\454_selected_image.jpg,1
"dataset\CARRIER3_Panel aging, rust or breach\GESU6574546_131202_09.jpg",2
"dataset\CARRIER3_Panel aging, rust or breach\568_selected_image.jpg",2
"dataset\SHIPPER1_Floor stains, contamination or cracks\GESU3725000_140603_03.jpg",4
dataset\CARRIER2_Panel dents or scratches\KWLU3919633-5.jpg,1
"dataset\CARRIER3_Panel aging, rust or breach\520_selected_image.jpg",2
dataset\CARRIER1_Door Damage\KWLU 5090475-1.jpg,0
dataset\CARRIER4_Placards removal\1553_selected_image.jpg,3
dataset\CARRIER4_Placards removal\494_selected_image.jpg,3
dataset\SHIPPER4_Panel or Sidewalls dirts\810_selected_image.jpg,7
dataset\CARRIER4_Placards removal\380_selected_image.jpg,3
dataset\SHIPPER2_Panel or Sidewall protrusion\1507_selected_image.jpg,5
dataset\CARRIER4_Placards removal\1885_selected_image.jpg,3
dataset\CARRIER2_Panel dents or scratches\GESU 3904198-1-1.jpg,1
dataset\CARRIER4_Placards removal\KWLU2091380_130401_02.jpg,3
"dataset\SHIPPER1_Floor stains, contamination or cracks\WFHU4026738_130805_03.jpg",4
dataset\CARRIER1_Door Damage\WFHU 1351333-1.JPG,0
"dataset\SHIPPER1_Floor stains, contamination or cracks\GESU 3904752-2-1.jpg",4
dataset\CARRIER4_Placards removal\2296_selected_image.jpg,3
dataset\CARRIER1_Door Damage\KWLU2091966_130923_01.jpg,0
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\2179_selected_image.jpg,6
dataset\SHIPPER4_Panel or Sidewalls dirts\2007_selected_image.jpg,7
dataset\CARRIER4_Placards removal\2271_selected_image.jpg,3
dataset\CARRIER2_Panel dents or scratches\668_selected_image.jpg,1
"dataset\CARRIER3_Panel aging, rust or breach\1148_selected_image.jpg",2
dataset\CARRIER2_Panel dents or scratches\KWLU5090080_130909_04.jpg,1
"dataset\SHIPPER1_Floor stains, contamination or cracks\KWLU2970712_131207_03.jpg",4
dataset\CARRIER2_Panel dents or scratches\491_selected_image.jpg,1
dataset\CARRIER1_Door Damage\KWLU4070263-A.jpg,0
"dataset\SHIPPER1_Floor stains, contamination or cracks\KWLU2970604_131129_02.jpg",4
"dataset\SHIPPER1_Floor stains, contamination or cracks\XINU8198193_130930_02.jpg",4
dataset\SHIPPER2_Panel or Sidewall protrusion\533_selected_image.jpg,5
"dataset\CARRIER3_Panel aging, rust or breach\615_selected_image.jpg",2
dataset\CARRIER4_Placards removal\2322_selected_image.jpg,3
dataset\CARRIER2_Panel dents or scratches\TEMU2421196_140114_05.jpg,1
dataset\SHIPPER4_Panel or Sidewalls dirts\1883_selected_image.jpg,7
"dataset\CARRIER3_Panel aging, rust or breach\1917_selected_image.jpg",2
dataset\CARRIER4_Placards removal\2301_selected_image.jpg,3
dataset\CARRIER1_Door Damage\139_selected_image.jpg,0
dataset\SHIPPER4_Panel or Sidewalls dirts\TEMU2421684_130603_04.jpg,7
dataset\SHIPPER4_Panel or Sidewalls dirts\995_selected_image.jpg,7
"dataset\CARRIER3_Panel aging, rust or breach\593_selected_image.jpg",2
dataset\SHIPPER4_Panel or Sidewalls dirts\2381_selected_image.jpg,7
"dataset\CARRIER3_Panel aging, rust or breach\354_selected_image.jpg",2
dataset\CARRIER2_Panel dents or scratches\XINU8200979_131217_07.jpg,1
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\1987_selected_image.jpg,6
"dataset\SHIPPER1_Floor stains, contamination or cracks\KWLU 2091550-1.jpg",4
dataset\SHIPPER2_Panel or Sidewall protrusion\2333_selected_image.jpg,5
dataset\CARRIER1_Door Damage\590_selected_image.jpg,0
dataset\SHIPPER4_Panel or Sidewalls dirts\1371_selected_image.jpg,7
"dataset\CARRIER3_Panel aging, rust or breach\873_selected_image.jpg",2
dataset\CARRIER4_Placards removal\1270_selected_image.jpg,3
"dataset\CARRIER3_Panel aging, rust or breach\2127_selected_image.jpg",2
dataset\SHIPPER2_Panel or Sidewall protrusion\940_selected_image.jpg,5
dataset\SHIPPER2_Panel or Sidewall protrusion\2248_selected_image.jpg,5
dataset\SHIPPER2_Panel or Sidewall protrusion\739_selected_image.jpg,5
dataset\CARRIER2_Panel dents or scratches\361_selected_image.jpg,1
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\2218_selected_image.jpg,6
dataset\SHIPPER4_Panel or Sidewalls dirts\1966_selected_image.jpg,7
dataset\CARRIER4_Placards removal\389_selected_image.jpg,3
"dataset\CARRIER3_Panel aging, rust or breach\198_selected_image.jpg",2
dataset\CARRIER1_Door Damage\KWLU5132971-2.jpg,0
dataset\CARRIER2_Panel dents or scratches\778_selected_image.jpg,1
"dataset\SHIPPER1_Floor stains, contamination or cracks\434_selected_image.jpg",4
dataset\SHIPPER4_Panel or Sidewalls dirts\490_selected_image.jpg,7
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\595_selected_image.jpg,6
"dataset\SHIPPER1_Floor stains, contamination or cracks\232_selected_image.jpg",4
dataset\CARRIER1_Door Damage\GESU2302220_131118_02.jpg,0
dataset\CARRIER2_Panel dents or scratches\365_selected_image.jpg,1
dataset\CARRIER2_Panel dents or scratches\307_selected_image.jpg,1
dataset\CARRIER2_Panel dents or scratches\UESU5124851_140524_02.jpg,1
dataset\CARRIER2_Panel dents or scratches\KWLU5092267_140607_02.jpg,1
dataset\SHIPPER4_Panel or Sidewalls dirts\213_selected_image.jpg,7
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\963_selected_image.jpg,6
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\1007_selected_image.jpg,6
dataset\CARRIER2_Panel dents or scratches\622_selected_image.jpg,1
dataset\CARRIER4_Placards removal\214_selected_image.jpg,3
dataset\CARRIER4_Placards removal\KWLU4130906-3.jpg,3
dataset\SHIPPER4_Panel or Sidewalls dirts\1048_selected_image.jpg,7
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\943_selected_image.jpg,6
dataset\SHIPPER4_Panel or Sidewalls dirts\TGHU6257992_131007_06.jpg,7
dataset\CARRIER2_Panel dents or scratches\1157_selected_image.jpg,1
dataset\CARRIER2_Panel dents or scratches\GESU3903490_130520_03.jpg,1
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\2280_selected_image.jpg,6
dataset\SHIPPER4_Panel or Sidewalls dirts\802_selected_image.jpg,7
dataset\SHIPPER4_Panel or Sidewalls dirts\183_selected_image.jpg,7
"dataset\SHIPPER1_Floor stains, contamination or cracks\TGHU6256131_140319_05.jpg",4
dataset\SHIPPER4_Panel or Sidewalls dirts\1223_selected_image.jpg,7
dataset\CARRIER2_Panel dents or scratches\TGHU6256147_140604_05.jpg,1
dataset\SHIPPER2_Panel or Sidewall protrusion\1723_selected_image.jpg,5
dataset\SHIPPER4_Panel or Sidewalls dirts\1073_selected_image.jpg,7
dataset\SHIPPER2_Panel or Sidewall protrusion\1209_selected_image.jpg,5
dataset\CARRIER1_Door Damage\TEMU2421344-2.jpg,0
"dataset\SHIPPER1_Floor stains, contamination or cracks\YMLU2737095_130603_04.jpg",4
"dataset\SHIPPER1_Floor stains, contamination or cracks\GESU1405688_140618_04.jpg",4
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\GESU5076636_131210_03 (2).jpg,6
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\81_selected_image.jpg,6
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\1991_selected_image.jpg,6
"dataset\CARRIER3_Panel aging, rust or breach\2207_selected_image.jpg",2
dataset\SHIPPER4_Panel or Sidewalls dirts\256_selected_image.jpg,7
"dataset\CARRIER3_Panel aging, rust or breach\1082_selected_image.jpg",2
dataset\CARRIER4_Placards removal\1024_selected_image.jpg,3
"dataset\CARRIER3_Panel aging, rust or breach\936_selected_image.jpg",2
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\1529_selected_image.jpg,6
dataset\CARRIER1_Door Damage\684_selected_image.jpg,0
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\1827_selected_image.jpg,6
dataset\SHIPPER4_Panel or Sidewalls dirts\1361_selected_image.jpg,7
